Journal Name,Year Founded,Year S2O-OA initiated,Year S2O ended,Publisher Location,Affiliation,Current Publisher,Discipline,Has author-side fees?,ISSN-L,Wikidata,openAlexID,2020-Count,2021-Count,2022-Count,2023-Count,2024-Count,2025-Count
Marché & Organisations - Revue d'Analyse Stratégique,2006,2025,N/A,France,(none),CAIRN/Réseau de recherche sur l'innovation,SSH,No,1953-6119,Q96727272,S4210222553,NA,NA,NA,NA,NA,15
Journal de la Société des Océanistes / Journal of the society of oceanists,1945,2025,N/A,France,Société des océanistes,CAIRN/Société des océanistes,SSH,No,0300-953X,Q3186854,S4306515200,NA,NA,NA,NA,NA,33
Économie rurale / Rural economy,1953,2024,N/A,France,Société française d’économie rurale,CAIRN/Société française d’économie rurale,SSH,No,0013-0559,Q56823485,S4210172832,NA,NA,NA,NA,65,200
Santé Publique / Public health,1988,2025,N/A,France,Société Française de Santé Publique (SFSP),CAIRN/Société Française de Santé Publique,SSH,No,0995-3914,Q27714659,S4210200750,NA,NA,NA,NA,NA,147
Dix-huitième siècle / Eighteenth century,1969,2025,N/A,France,Société Française d'Étude du Dix-Huitième Siècle,CAIRN/Société Française d'Étude du Dix-Huitième Siècle,SSH,No,0070-6760,Q15764205,S4210229667,NA,NA,NA,NA,NA,135
Revue européenne des migrations internationales / European review of international migrations,1985,2025,N/A,France,(none),CAIRN/Université de Poitiers,SSH,No,0765-0752,Q3428720,S4210238526,NA,NA,NA,NA,NA,52
Flux,1990,2022,N/A,France,Université Gustave Eiffel,CAIRN/Université Gustave Eiffel,SSH,No,1154-2721,Q58822300,S33019050,NA,NA,27,27,35,18
New Hibernia Review,1997,2025,N/A,USA,,Center for Irish Studies at the University of St. Thomas,SSH,No,1092-3977,Q15750950,S110082257,NA,NA,NA,NA,NA,38
Comitatus: A Journal of Medieval and Renaissance Studies,1970,2025,N/A,USA,,"Center for Medieval and Renaissance Studies, UCLA",SSH,No,0069-6412,Q15766904,S1026204619,NA,NA,NA,NA,NA,23
Latin American Theatre Review,1967,2025,N/A,USA,,"Center of Latin American Studies, University of Kansas",SSH,No,0023-8813,Q15764837,S111847983,NA,NA,NA,NA,NA,24
ABI Technik,1981,2021,N/A,Germany,(none),De Gruyter,SSH,No,0720-6763,Q287322,S970561846,NA,56,62,60,55,82
Analyse & Kritik,1979,2025,N/A,Germany,(none),De Gruyter,SSH,No,0171-5860,Q485105,S2764409345,NA,NA,NA,NA,NA,23
Arbeit,1992,2023,N/A,Germany,(none),De Gruyter,SSH,No,0941-5025,Q96703358,S4210180275,NA,NA,NA,28,19,26
Archiv für Geschichte der Philosophie,1888,2025,N/A,Germany,(none),De Gruyter,SSH,No,0003-9101,Q4787234,S33792061,NA,NA,NA,NA,NA,43
Asiatische Studien - Études Asiatiques,2014,2025,N/A,Germany,Swiss Asia Society,De Gruyter,SSH,No,0004-4717,Q15755123,S4210182469,NA,NA,NA,NA,NA,39
Bibliothek Forschung und Praxis,1977,2021,N/A,Germany,(none),De Gruyter,SSH,No,0341-4183,Q856448,S89564548,NA,87,85,97,92,58
Bibliotheksdienst,1967,2022,N/A,Germany,(none),De Gruyter,SSH,No,0006-1972,Q856594,S4210240624,NA,NA,127,107,120,90
Biological Chemistry,1878,2025,N/A,Germany,German Society for Biochemistry and Molecular Biology,De Gruyter,LS,No,1431-6730,Q4914948,S18118477,NA,NA,NA,NA,NA,48
Biomedical Engineering / Biomedizinische Technik,1956,2025,N/A,Germany,German Society for Biomedical Engineering,De Gruyter,LS,No,0013-5585,Q15749128,S186193465,NA,NA,NA,NA,NA,47
Cognitive Linguistics,1990,2024,N/A,Germany,(none),De Gruyter,SSH,No,0936-5907,Q15757981,S207053439,NA,NA,NA,NA,26,23
Cognitive Semiotics,2007,2025,N/A,Germany,(none),De Gruyter,SSH,No,1662-1425,Q96701735,S156392881,NA,NA,NA,NA,NA,9
Corpus Linguistics and Linguistic Theory,2005,2025,N/A,Germany,(none),De Gruyter,SSH,No,1613-7027,Q5172676,S93319263,NA,NA,NA,NA,NA,25
Die Denkmalpflege,1899,2025,N/A,Germany,(none),De Gruyter,SSH,No,0342-0027,Q1211946,s37677374,NA,NA,NA,NA,NA,34
European Journal of Applied Linguistics,2013,2025,N/A,Germany,International Association of Applied Linguistics (AILA),De Gruyter,SSH,No,2192-9521,Q96700231,S4210201512,NA,NA,NA,NA,NA,27
European Journal of Scandinavian Studies,2010,2025,N/A,Germany,(none),De Gruyter,SSH,No,2191-9399,Q15816625,S2764926088,NA,NA,NA,NA,NA,35
feministische studien,1982,2025,N/A,Germany,(none),De Gruyter,SSH,No,0723-5186,Q1404527,S20330309,NA,NA,NA,NA,NA,58
Frühmittelalterliche Studien,1967,2021,N/A,Germany,(none),De Gruyter,SSH,No,0071-9706,Q1283097,s4210239296,NA,20,16,21,15,16
German Economic Review,2000,2025,N/A,Germany,German Economic Association (Verein für Socialpolitik),De Gruyter,SSH,No,1465-6485,Q1513886,S13669392,NA,NA,NA,NA,NA,26
Historische Zeitschrift,1859,2025,N/A,Germany,(none),De Gruyter,SSH,No,0018-2613,Q315571,S162713455,NA,NA,NA,NA,NA,394
Holzforschung,1947,2025,N/A,Germany,(none),De Gruyter,LS,No,0018-3830,Q15757134,S202705189,NA,NA,NA,NA,NA,79
Hormone Molecular Biology and Clinical Investigation,2010,2025,N/A,Germany,(none),De Gruyter,LS,No,1868-1883,Q15817271,S122815271,NA,NA,NA,NA,NA,21
International Journal of Adolescent Medicine and Health,1985,2025,N/A,Germany,(none),De Gruyter,LS,No,0334-0139,Q26842034,S2754359993,NA,NA,NA,NA,NA,68
International Public History,2018,2025,N/A,Germany,International Federation for Public History,De Gruyter,SSH,No,2567-1111,Q96707953,S4210179480,NA,NA,NA,NA,NA,28
it - Information Technology,1959,2025,N/A,Germany,GI - Gesellschaft für Informatik e.V.,De Gruyter,SSH,No,1611-2776,Q53968633,S4210229153,NA,NA,NA,NA,NA,8
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,1960,2021,N/A,Germany,(none),De Gruyter,SSH,No,0075-2800,Q15817789,S4210202309,NA,21,22,24,25,23
Jahrbücher für Nationalökonomie und Statistik,1863,2023,N/A,Germany,(none),De Gruyter,SSH,No,0021-4027,Q1678629,S97042997,NA,NA,NA,38,46,35
Journal of African Languages and Linguistics,1979,2025,N/A,Germany,(none),De Gruyter,SSH,No,0167-6164,Q15758552,S48967297,NA,NA,NA,NA,NA,13
Journal of Literary Theory,2008,2021,N/A,Germany,(none),De Gruyter,SSH,No,1862-5290,Q1409364,S86016331,NA,7,19,15,12,25
Journal of Perinatal Medicine,1973,2025,N/A,Germany,World Association of Perinatal Medicine,De Gruyter,LS,No,0300-5577,Q15753400,S61009040,NA,NA,NA,NA,NA,191
Journal of Politeness Research,2005,2025,N/A,Germany,(none),De Gruyter,SSH,No,1612-5681,Q15758642,S4210170448,NA,NA,NA,NA,NA,23
Libri,1950,2024,N/A,Germany,(none),De Gruyter,SSH,No,0024-2667,Q15764922,S170287832,NA,NA,NA,NA,34,30
Linguistic Typology,1997,2024,N/A,Germany,(none),De Gruyter,SSH,No,1430-0532,Q13551342,S97247071,NA,NA,NA,NA,25,32
Linguistics,1963,2021,N/A,Germany,(none),De Gruyter,SSH,No,0024-3949,Q6554075,S126923661,NA,77,60,73,74,36
Nietzsche-Studien,1972,2021,N/A,Germany,(none),De Gruyter,SSH,No,0342-1422,Q15758303,S4210171306,NA,51,32,19,15,17
"Peace Economics, Peace Science and Public Policy",1993,2025,N/A,Germany,(none),De Gruyter,SSH,No,1079-2457,Q15817553,S402139,NA,NA,NA,NA,NA,25
Perspektiven der Wirtschaftspolitik,2000,2025,N/A,Germany,Verein für Socialpolitik,De Gruyter,SSH,No,1465-6493,Q4046703,S24470789,NA,NA,NA,NA,NA,39
Poznan Studies in Contemporary Linguistics,2011,2025,N/A,Germany,(none),De Gruyter,SSH,No,0137-2459,Q15763462,S4210236141,NA,NA,NA,NA,NA,26
"Preservation, Digital Technology & Culture",2013,2024,N/A,Germany,(none),De Gruyter,SSH,No,2195-2957,Q96329437,S4210201261,NA,NA,NA,NA,32,37
Probus,1989,2025,N/A,Germany,(none),De Gruyter,SSH,No,0921-4771,Q7247072,S120013848,NA,NA,NA,NA,NA,13
Quellen und Forschungen aus italienischen Archiven und Bibliotheken,1898,2021,N/A,Germany,(none),De Gruyter,SSH,No,0079-9068,Q1268287,S4210174337,NA,27,35,35,37,33
Restaurator. International Journal for the Preservation of Library and Archival Material,1970,2025,N/A,Germany,(none),De Gruyter,SSH,No,0034-5806,Q15753463,S29114012,NA,NA,NA,NA,NA,15
Reviews in Chemical Engineering,1982,2025,N/A,Germany,(none),De Gruyter,PSM,No,0167-8299,Q15760029,S186775512,NA,NA,NA,NA,NA,34
Reviews in Inorganic Chemistry,1985,2025,N/A,Germany,(none),De Gruyter,SSH,No,0193-4929,Q19299094,S993292003,NA,NA,NA,NA,NA,43
Semiotica,2013,2024,N/A,Germany,International Association for Semiotic Studies,De Gruyter,SSH,No,0037-1998,Q10971339,S171347946,NA,NA,NA,NA,60,65
Sozialer Sinn,2000,2025,N/A,Germany,(none),De Gruyter,SSH,No,1439-9326,Q48754604,S4210235048,NA,NA,NA,NA,NA,19
Soziologische Revue,1978,2021,N/A,Germany,(none),De Gruyter,SSH,No,0343-4109,Q96732221,S83648035,NA,84,81,73,93,64
Sport und Gesellschaft,2004,2025,N/A,Germany,German Association of Sport Science,De Gruyter,SSH,No,1610-3181,Q96732363,S4210193403,NA,NA,NA,NA,NA,17
